HJD,dmag,err
5757.5111,3.8862,0.0222
5757.5152,3.9811,0.0813
5760.4891,4.7202,0.0093
5760.4932,4.722,0.0126
5760.56705,4.7096,0.012
5760.57115,4.7208,0.0176
5760.58919,4.7136,0.0146
5760.59329,4.732,0.0188
5760.68948,4.7743,0.0105
5760.69358,4.8116,0.0136
5760.75679,4.8239,0.0078
5760.76089,4.8264,0.0209
5762.49045,5.8295,0.0145
5762.49237,5.8161,0.0201
5762.51852,5.8362,0.0212
5762.52044,5.8351,0.029
5762.53987,5.863,0.0167
5762.54179,5.8574,0.019
5762.54572,5.8662,0.0185
5762.56777,5.8842,0.0211
5762.56969,5.8763,0.0223
5762.58801,5.9008,0.02
5762.58993,5.9063,0.02
5762.62141,5.9385,0.0199
5762.62333,5.9418,0.0199
5762.6496,5.9606,0.0121
5762.65152,5.9695,0.011
5762.67165,5.9904,0.0143
5762.67357,5.9948,0.0121
5762.70608,6.0234,0.0154
5762.708,6.0157,0.0099
5762.71001,6.021,0.0118
5762.71193,6.0339,0.0118
5762.73305,6.0497,0.0132
5762.73497,6.0475,0.0153
5762.75734,6.0815,0.0175
5762.75926,6.0749,0.0208
5762.77775,6.1,0.0164
5762.77967,6.0869,0.0175
5763.4545,6.3564,0.015
5763.45642,6.351,0.015
5763.4584,6.3607,0.015
5763.46032,6.366,0.0139
5763.4623,6.3639,0.0161
5763.46422,6.3596,0.0161
5763.4662,6.3693,0.0107
5763.46812,6.3478,0.0118
5763.47009,6.3564,0.0118
5763.47201,6.3564,0.0107
5763.47399,6.3521,0.015
5763.47591,6.3467,0.0161
5763.47789,6.3575,0.0161
5763.47981,6.3521,0.0182
5763.48178,6.3478,0.0161
5763.48371,6.3424,0.0215
5763.48568,6.3564,0.0193
5763.48761,6.3414,0.0193
5763.48962,6.3114,0.0191
5763.49154,6.3072,0.0254
5763.49507,6.3253,0.0312
5763.49699,6.3145,0.0323
5763.50096,6.3156,0.0312
5763.50294,6.3253,0.0215
5763.50486,6.3253,0.0301
5763.50684,6.3285,0.0236
5763.50876,6.3296,0.0226
5763.51074,6.3231,0.0301
5763.51266,6.293,0.0355
5763.51463,6.2919,0.0355
5763.51655,6.3113,0.0323
5763.51853,6.2984,0.0355
5763.52045,6.307,0.0334
5763.52243,6.3102,0.0312
5763.52435,6.2984,0.0323
5763.52633,6.3027,0.0323
5763.52825,6.307,0.0312
5763.53026,6.2976,0.0244
5763.53218,6.2976,0.0233
5763.5342,6.3048,0.0312
5763.53612,6.3145,0.0301
5763.5381,6.3156,0.0226
5763.54003,6.3167,0.0204
5763.54393,6.3167,0.0204
5763.54782,6.3027,0.0226
5763.5498,6.3081,0.0204
5763.55172,6.3081,0.0204
5763.55371,6.3059,0.0215
5763.55563,6.293,0.0323
5763.55952,6.3178,0.0194
5763.5615,6.3048,0.0194
5763.56342,6.3081,0.0194
5763.56732,6.3005,0.0215
5763.56934,6.2934,0.0223
5763.57126,6.2881,0.017
5763.57327,6.3081,0.0204
5763.57519,6.2951,0.0312
5763.57717,6.2898,0.0312
5763.57909,6.2941,0.0312
5763.58107,6.3005,0.0215
5763.58299,6.2994,0.0194
5763.58497,6.3005,0.0183
5763.58688,6.2887,0.0205
5763.58886,6.3167,0.0183
5763.59078,6.293,0.014
5763.59276,6.2941,0.0183
5763.59468,6.2887,0.0194
5763.59666,6.2811,0.0194
5763.59858,6.2865,0.0194
5763.60247,6.2833,0.0183
5763.60445,6.2865,0.0194
5763.60637,6.2811,0.0216
5763.60839,6.2764,0.017
5763.61031,6.269,0.017
5763.61354,6.2736,0.0194
5763.61935,6.2822,0.0194
5763.62133,6.2736,0.0194
5763.62325,6.265,0.0205
5763.62523,6.2725,0.0194
5763.62715,6.2671,0.0194
5763.62913,6.279,0.0183
5763.63105,6.265,0.0194
5763.63303,6.2607,0.0194
5763.63495,6.2661,0.0194
5763.63693,6.2628,0.0183
5763.63885,6.2639,0.0205
5763.64082,6.2552,0.0194
5763.64274,6.265,0.0205
5763.64472,6.2639,0.0205
5763.64664,6.2617,0.0183
5763.64865,6.2435,0.0181
5763.65057,6.2552,0.017
5763.65259,6.2509,0.0194
5763.65451,6.2552,0.0205
5763.65648,6.2542,0.0194
5763.6584,6.2585,0.0119
5763.66038,6.2477,0.0119
5763.6623,6.2585,0.013
5763.66428,6.2455,0.014
5763.6662,6.2477,0.0119
5763.66818,6.2391,0.014
5763.6701,6.2412,0.014
5763.67208,6.2369,0.014
5763.674,6.238,0.0119
5763.67597,6.2347,0.0119
5763.67789,6.2455,0.0119
5763.67987,6.2315,0.0151
5763.68179,6.2423,0.0173
5763.68377,6.2509,0.0151
5763.68569,6.2326,0.013
5763.6877,6.235,0.0106
5763.68962,6.2371,0.0138
5763.69164,6.2272,0.0119
5763.69554,6.2261,0.0108
5763.69746,6.225,0.0119
5763.69944,6.2218,0.0108
5763.70136,6.2185,0.0108
5763.70333,6.2282,0.0097
5763.70723,6.2142,0.0097
5763.70916,6.2099,0.0097
5763.71113,6.2164,0.0097
5763.71305,6.2207,0.0097
5763.71504,6.2174,0.0108
5763.71696,6.2088,0.0097
5763.71894,6.2109,0.0097
5763.72086,6.2023,0.0108
5763.72476,6.2023,0.0098
5763.72678,6.1903,0.0107
5763.7287,6.1978,0.0107
5763.73072,6.2001,0.0098
5763.73264,6.1979,0.0098
5763.73462,6.1828,0.0108
5763.73654,6.1947,0.0098
5763.74044,6.1817,0.0098
5763.74242,6.1925,0.0087
5763.74434,6.1828,0.0098
5763.74631,6.1849,0.0098
5763.74823,6.1828,0.0098
5763.75021,6.1849,0.0098
5763.75213,6.1806,0.0087
5763.75411,6.1708,0.0087
5763.75603,6.1751,0.0087
5763.75801,6.1708,0.0087
5763.75993,6.1751,0.0076
5763.76191,6.1687,0.0087
5763.76383,6.173,0.0076
5763.76584,6.1924,0.0107
5763.76777,6.1743,0.0107
5763.76978,6.1578,0.0098
5763.7717,6.1534,0.0098
5763.77368,6.1589,0.0098
5763.7756,6.1578,0.0098
5763.77757,6.1589,0.0087
5763.77949,6.1534,0.0087
5763.78147,6.1534,0.0098
5763.78339,6.1523,0.0087
5763.78537,6.1491,0.0054
5763.78729,6.1328,0.0076
5763.78926,6.1447,0.0076
5763.79119,6.1425,0.0294
5763.79316,6.1414,0.0087
5763.79508,6.1458,0.0087
5763.79707,6.1502,0.0087
5763.79899,6.1306,0.0098
5763.80096,6.1371,0.0076
5763.80289,6.1414,0.0076
5763.8049,6.1401,0.0107
5763.80682,6.1487,0.0107
5763.80883,6.1273,0.0076
5763.81075,6.1317,0.0087
5763.81273,6.1273,0.0087
5763.81465,6.1284,0.0054
5763.81662,6.123,0.0076
5763.81855,6.1328,0.0087
5764.49083,5.5459,0.0208
5764.49275,5.5321,0.03
5764.51697,5.5125,0.0243
5764.51889,5.5089,0.0255
5764.55277,5.4788,0.0256
5764.55469,5.4846,0.0256
5764.57495,5.48,0.0221
5764.57687,5.4788,0.0232
5764.61094,5.4811,0.0151
5764.61286,5.4846,0.0151
5764.63399,5.4683,0.0128
5764.63591,5.466,0.0128
5764.68816,5.4287,0.0105
5764.70212,5.417,0.0164
5764.72697,5.4158,0.0105
5764.72889,5.4099,0.0106
5764.74983,5.4122,0.0094
5764.75175,5.404,0.0094
5764.78964,5.3805,0.0106
5764.79156,5.3805,0.0082
5764.81827,5.351,0.0106
5764.82019,5.3569,0.0095
5765.49492,4.9658,0.0189
5765.49684,4.9392,0.0215
5765.55681,4.9304,0.0229
5765.55873,4.9342,0.019
5765.57758,4.9329,0.019
5765.5795,4.9164,0.0178
5766.48561,4.6046,0.0109
5766.55066,4.5813,0.0123
5766.64349,4.5483,0.0124
5766.73937,4.5648,0.0083
5766.81462,4.5497,0.0097
5767.54525,4.2846,0.0164
5767.62353,4.295,0.0134
5767.71328,4.3231,0.0103
5767.75022,4.3025,0.0104
5772.73376,3.5133,0.0299
5772.75566,3.4953,0.0301
5772.78538,3.5391,0.0296
